=======================================================================================
STRINGS DATA FILE
=======================================================================================

=======================================================================================
*BEGIN*
=======================================================================================

Language Version 1                                     := (English)
Key Name 176                                           := Order Fire All On Target
Key Name 177                                           := Order Fire Specific On Target
Key Name 178                                           := Order Piece Options
Key Name 179                                           := Order Break Formation Section
Key Name 180                                           := Order Ram Target
Key Name 181                                           := Order Launch Recover Units
Key Name 182                                           := Order Self Destruct
Key Name 183                                           := Order Drop Troops
Key Name 184                                           := Order Capture Target Ship
Key Name 185                                           := Order Resupply At Nearest
Key Name 186                                           := Order Warp Through Warp Point
Key Name 187                                           := Order Break Formation
Key Name 188                                           := Order Break Task Force Formation
Key Name 189                                           := Order Break Fleet Formation
Key Name 190                                           := Order Start Stop Time
Key Name 191                                           := View System Topdown
Key Name 192                                           := View System Skewed
Key Name 193                                           := Follow Selected Object Skewed View
Key Name 194                                           := Toggle Background Grid Display
Key Name 195                                           := Toggle FPS Display
Key Name 196                                           := Start/End Cheat Code
Key Name 197                                           := Move Viewpoint Left
Key Name 198                                           := Move Viewpoint Right
Key Name 199                                           := Move Viewpoint Up
Key Name 200                                           := Move Viewpoint Down
Key Name 201                                           := Zoom Viewpoint In
Key Name 202                                           := Zoom Viewpoint Out
Key Name 203                                           := Increase Ambient Brightness
Key Name 204                                           := Decrease Ambient Brightness
Key Name 205                                           := Sector View
Key Name 206                                           := 
Key Name 207                                           := 
Key Name 208                                           := 
Key Name 209                                           := 
Key Name 210                                           := 
Key Name 211                                           := 
Key Name 212                                           := 
Key Name 213                                           := 
Key Name 214                                           := 
Key Name 215                                           := 
Key Name 216                                           := 
Key Name 217                                           := 
Key Name 218                                           := 
Key Name 219                                           := 
Key Name 220                                           := View Weapons Range
Key Name 221                                           := View Destinations
Key Name 222                                           := View Targets
Key Name 223                                           := View Damage
Key Name 224                                           := View Names
Key Name 225                                           := Change View Mode
Key Name 226                                           := Options
Key Name 227                                           := Item Report
Key Name 228                                           := System Report
Key Name 229                                           := Order Start Time
Key Name 230                                           := Order Stop Time
Key Name 231                                           := Order Time Rate Decrease
Key Name 232                                           := Order Time Rate Increase
Key Name 233                                           := Order Timed Stop
Key Name 234                                           := Order Moveto
Key Name 235                                           := Order Clear Weapon Targeting
Key Name 236                                           := Order Fire All On Target
Key Name 237                                           := Order Fire Specific On Target
Key Name 238                                           := Order Piece Options
Key Name 239                                           := Order Ram Target
Key Name 240                                           := Order Self Destruct
Key Name 241                                           := Order Resupply At Nearest
Key Name 242                                           := Order Start Stop Time
Key Name 243                                           := View System Topdown
Key Name 244                                           := View System Skewed
Key Name 245                                           := Follow Selected Object Skewed View
Key Name 246                                           := Toggle Background Grid Display
Key Name 247                                           := Toggle FPS Display
Key Name 248                                           := Start/End Cheat Code
Key Name 249                                           := Move Viewpoint Left
Key Name 250                                           := Move Viewpoint Right
Key Name 251                                           := Move Viewpoint Up
Key Name 252                                           := Move Viewpoint Down
Key Name 253                                           := Zoom Viewpoint In
Key Name 254                                           := Zoom Viewpoint Out
Key Name 255                                           := Increase Ambient Brightness
Key Name 256                                           := Decrease Ambient Brightness
Key Name 257                                           := Sector View
Key Name 258                                           := 
Key Name 259                                           := 
Key Name 260                                           := 
Key Name 261                                           := 
Key Name 262                                           := 
Key Name 263                                           := 
Key Name 264                                           := 
Key Name 265                                           := 
Key Name 266                                           := 
Key Name 267                                           := 
Key Name 268                                           := 
Key Name 269                                           := 
Key Name 270                                           := 
Key Name 271                                           := 
Log Words 1                                            := ship
Log Words 2                                            := ships
Log Words 3                                            := mine
Log Words 4                                            := mines
Log Words 5                                            := A vehicle which is constructing items cannot move.
Log Words 6                                            := Our forces at [%SectorLoc%] of the [%SystemName%] system have encountered a mine field.
Log Words 7                                            := We have lost [%ShipsKilled%] [%VehicleType%] to the mines.
Log Words 8                                            := Some of our ships took damage from mine explosions.
Log Words 9                                            := Our mine sweepers were able to remove [%MinesSwept%] [%VehicleType%].
Log Words 10                                           := Minefield
Log Words 11                                           := There is no planet here to colonize.
Log Words 12                                           := There is no planet here to colonize.
Log Words 13                                           := There is no planet here to colonize.
Log Words 14                                           := This planet cannot be colonized.
Log Words 15                                           := There is already a colony on this planet.
Log Words 16                                           := A cloaked ship cannot colonize a planet.
Log Words 17                                           := Unable to colonize [%PlanetType%].
Log Words 18                                           := Colonize
Log Words 19                                           := A cloaked ship cannot load cargo
Log Words 20                                           := No cargo was loaded by ship [%ShipName%] because it cannot contain any more cargo
Log Words 21                                           := Load Cargo
Log Words 22                                           := A cloaked ship cannot drop cargo
Log Words 23                                           := No cargo was dropped by ship [%ShipName%] because the location cannot hold anymore cargo
Log Words 24                                           := Drop Cargo
Log Words 25                                           := A cloaked ship cannot load cargo
Log Words 26                                           := There was no target to load cargo from
Log Words 27                                           := No cargo was loaded by ship [%VehicleName%] because it cannot contain any more cargo
Log Words 28                                           := Load Cargo
Log Words 29                                           := A cloaked ship cannot drop cargo
Log Words 30                                           := There was no target to drop cargo to
Log Words 31                                           := No cargo was dropped by ship [%VehicleName%] because the target cannot contain any more cargo
Log Words 32                                           := Drop Cargo
Log Words 33                                           := A cloaked ship cannot launch units.
Log Words 34                                           := Launch Units
Log Words 35                                           := A cloaked ship cannot recover units.
Log Words 36                                           := Recover Units
Log Words 37                                           := A cloaked ship cannot launch units.
Log Words 38                                           := Launch Units
Log Words 39                                           := A cloaked ship cannot recover units
Log Words 40                                           := There was no target to recover units from
Log Words 41                                           := The target to reocver units from was not owned by us
Log Words 42                                           := The target to recover from was not present in the sector
Log Words 43                                           := Recover Units
Log Words 44                                           := Scrap
Log Words 45                                           := Deconstruct and Analyze
Log Words 46                                           := [%ShipName%] was not retrofit because we could not locate the new design to retrofit to.
Log Words 47                                           := [%ShipName%] was not retrofit because the new design does not belong to us.
Log Words 48                                           := The retrofit of [%ShipName%] has been completed. The vehicle now needs to have its new components repaired.
Log Words 49                                           := Retrofit Successful
Log Words 50                                           := Retrofit Problem
Log Words 51                                           := Cannot Mothball
Log Words 52                                           := You cannot mothball a ship which is carrying cargo.
Log Words 53                                           := You cannot mothball a ship which is cloaked.
Log Words 54                                           := You can only mothball ships at a spaceyard.
Log Words 55                                           := Self-Destruct
Log Words 56                                           := Fire On And Destroy
Log Words 57                                           := Abandon Planet
Log Words 58                                           := Our colony on planet [%PlanetName%] in system [%SystemName%] has been completely abandoned.
Log Words 59                                           := [%NumItemsScrapped%] cargo items were scrapped from [%PlanetName%] and [%MineralAmount%] Minerals, [%OrganicsAmount%] Organics, and [%RadioactivesAmount%] Radioactives were returned to the treasury, sire.
Log Words 60                                           := However, our scientists have been unable to understand it. It is useless to us, sire.
Log Words 61                                           := However, this technology is no more advanced than our own. It is useless to us, sire.
Log Words 62                                           := We had a colony of [%PopDead%]M in the asteroid belt that used to be there.
Log Words 63                                           := We had a colony of [%PopDead%]M in the asteroid belt they destroyed to make the planet.
Log Words 64                                           := We had a colony of [%PopDead%]M on the planet.
Log Words 65                                           := We had [%NumColonies%] colonies in the system with a total population of [%TotalPopulation%] people.
Log Words 66                                           := We lost [%NumShips%] [%VehicleType%] to the shockwave.
Log Words 67                                           := We had [%NumColonies%] colonies in the system with a total population of [%TotalPopulation%] people.
Log Words 68                                           := We lost [%NumShips%] [%VehicleType%] to the shockwave.
Log Words 69                                           := We had [%NumColonies%] colonies in the system with a total population of [%TotalPopulation%] people.
Log Words 70                                           := We lost [%NumShips%] [%VehicleType%] to the shockwave.
Log Words 71                                           := Our ships have taken damage while moving through [%SectorLoc%] of the [%SystemName%] system.
Log Words 72                                           := Our treaties prevent us from colonizing in this solar system.
Log Words 73                                           := The rules governing our alliance prevents us from colonizing in this solar system.
Log Message Title 1                                    := First Contact
Log Message Text 1                                     := Political Minister: We have encountered a new empire called the [%RaceName%], sire.
Log Message Title 2                                    := [%EmpireName%] destroyed
Log Message Text 2                                     := Military Minister: The [%EmpireName%] empire has been completely destroyed. They are no more, sire.
Log Message Title 3                                    := Password Reset
Log Message Text 3                                     := Host: Your password has been reset to "[%Password%]".
Log Message Title 4                                    := Plague Cured
Log Message Text 4                                     := The plague on planet [%PlanetName%] has been cured.
Log Message Title 5                                    := Atmosphere Converted
Log Message Text 5                                     := The atmosphere on planet [%PlanetName%] has been converted to one that is breathable by our people, sire.
Log Message Title 6                                    := Alliance Left
Log Message Text 6                                     := Politics Minister: We have left the [%AllianceName%] and are now on our own, sire.
Log Message Title 7                                    := Member Leaves Alliance
Log Message Text 7                                     := Politics Minister: The [%EmpireName%] has withdrawn from the [%AllianceName%].
Log Message Title 8                                    := Unit Group Abandoned
Log Message Text 8                                     := Maintenance Minister: Because of our lack of funding for ship maintenance, the [%UnitName%] at [%SectorLoc%] of the [%SystemName%] system has fallen into disrepair. The group has been demolished for spare parts, sire.
Log Message Title 9                                    := Ship Abandoned
Log Message Text 9                                     := Maintenance Minister: Because of our lack of funding for ship maintenance, the ship [%ShipName%] at [%SectorLoc%] of the [%SystemName%] system has fallen into disrepair. The crew has had to abandon it and destroy its rotting hulk, sire.
Log Message Title 10                                   := [%NumItems%] [%ItemName%]s constructed
Log Message Text 10                                    := Production Minister: [%NumItems%] [%ItemName%]s have been built at [%PlanetName%] in the [%SystemName%] system, sire.
Log Message Title 11                                   := [%ItemName%] constructed
Log Message Text 11                                    := Production Minister: A new [%ItemName%] has been built at [%PlanetName%] in the [%SystemName%] system, sire.
Log Message Title 12                                   := Facility upgraded
Log Message Text 12                                    := Production Minister: A [%FacilityName%] facility on [%PlanetName%] in the [%SystemName%] system has been upgraded to a [%FacilityName%] (Level [%LevelNum%]), sire.
Log Message Title 13                                   := Lack of Resources
Log Message Text 13                                    := Production Minister: The construction queue on [%PlanetName%] could not continue construction last month because of a lack of resources, sire.
Log Message Title 14                                   := Maximum Units Reached
Log Message Text 14                                    := The maximum number of units per player is [%MaxUnits%]. No more units may be constructed at this time.
Log Message Title 15                                   := Maximum Ships Reached
Log Message Text 15                                    := The maximum number of ships per player is [%MaxShips%]. No more ships may be constructed at this time.
Log Message Title 16                                   := No Storage Available
Log Message Text 16                                    := Construction Minister: A new [%DesignName%] could not be constructed at [%SectorLoc%] of the [%SystemName%] system because there is no storage available to contain the unit, sire.
Log Message Title 17                                   := Damage Taken
Log Message Text 17                                    := Fleet Minister: Our ships have taken damage while moving through [%SectorLoc%] of the [%SystemName%] system, sire.
Log Message Title 18                                   := Unable to Move
Log Message Text 18                                    := Fleet Minister: [%VehicleName%] in system [%SystemName%] cannot move because: [%FailureReason%], sire.
Log Message Title 19                                   := Minefield Encountered
Log Message Text 19                                    := Military Minister: Our forces have been damaged by a mine field at [%SectorLoc%] of the [%SystemName%] system, sire.
Log Message Title 20                                   := Minefield Encountered
Log Message Text 20                                    := Military Minister: Our forces have encountered a mine field at [%SectorLoc%] of the [%SystemName%] system, sire.
Log Message Title 21                                   := 
Log Message Text 21                                    := We have lost [%ShipsKilled%] [%VehicleType%] to the mines.
Log Message Title 22                                   := 
Log Message Text 22                                    := Our mine sweepers were able to eliminate [%MinesSwept%] [%VehicleType%].
Log Message Title 23                                   := Minefield Triggered
Log Message Text 23                                    := Military Minister: Our mine field at [%SectorLoc%] of the [%SystemName%] system has been encountered by the [%EmpireName%], sire.
Log Message Title 24                                   := 
Log Message Text 24                                    := They have lost [%NumVehiclesKilled%] [%VehicleType%] to our mines.
Log Message Title 25                                   := 
Log Message Text 25                                    := They have successfully swept the field of [%NumMinesSwept%] [%VehicleType%].
Log Message Title 26                                   := Unable to Colonize
Log Message Text 26                                    := Colonization Minister: Our colonizer in system [%SystemName%] failed because: [%FailureReason%], sire.
Log Message Title 27                                   := Unable to Load Cargo
Log Message Text 27                                    := Cargo Minister: [%VehicleName%] in system [%SystemName%] cannot load cargo because: [%FailureReason%], sire.
Log Message Title 28                                   := Unable to Drop Cargo
Log Message Text 28                                    := Cargo Minister: [%VehicleName%] in system [%SystemName%] cannot drop cargo because: [%FailureReason%], sire.
Log Message Title 29                                   := Unable to Load Cargo
Log Message Text 29                                    := Cargo Minister: [%VehicleName%] in system [%SystemName%] cannot load cargo because: [%FailureReason%], sire.
Log Message Title 30                                   := Unable to Drop Cargo
Log Message Text 30                                    := Cargo Minister: [%VehicleName%] in system [%SystemName%] cannot drop cargo because: [%FailureReason%], sire.
Log Message Title 31                                   := Unable to Launch Units
Log Message Text 31                                    := Unit Minister: [%VehicleName%] in system [%SystemName%] cannot launch units while it is cloaked, sire.
Log Message Title 32                                   := Unable to Recover Units
Log Message Text 32                                    := Unit Minister: [%VehicleName%] in system [%SystemName%] cannot recover units while it is cloaked, sire.
Log Message Title 33                                   := Unable to Launch Units
Log Message Text 33                                    := Unit Minister: [%VehicleName%] in system [%SystemName%] cannot launch units while it is cloaked, sire.
Log Message Title 34                                   := Unable to Recover Units
Log Message Text 34                                    := Unit Minister: [%VehicleName%] in system [%SystemName%] cannot recover units because: [%FailureReason%], sire.
Log Message Title 35                                   := Group Scrapped
Log Message Text 35                                    := Scrap Minister: Our [%VehicleName%] in system [%SystemName%] at [%SectorLoc%] has been scrapped, sire.
Log Message Title 36                                   := Vehicle Scrapped
Log Message Text 36                                    := Scrap Minister: Our vehicle [%VehicleName%] in system [%SystemName%] at [%SectorLoc%] has been scrapped, sire.
Log Message Title 37                                   := Unable to Scrap
Log Message Text 37                                    := Scrap Minister: [%ErrorMessage%] The scrap was attempted in system [%SystemName%] at [%SectorLoc%], sire.
Log Message Title 38                                   := Vehicle Deconstructed And Analyzed
Log Message Text 38                                    := Scrap Minister: Our vehicle [%VehicleName%] in system [%SystemName%] at [%SectorLoc%] has been deconstructed and analyzed, sire.
Log Message Title 39                                   := Unable to Analyze
Log Message Text 39                                    := Scrap Minister: [%ErrorMessage%] The deconstruct and analyze was attempted in system [%SystemName%] at [%SectorLoc%], sire.
Log Message Title 40                                   := Vehicle Retrofit
Log Message Text 40                                    := Retrofit Minister: Our vehicle [%ShipName%] in system [%SystemName%] has been retrofit. The vehicle now needs to have its new components repaired, sire.
Log Message Title 41                                   := Vehicle Retrofit
Log Message Text 41                                    := Retrofit Minister: Our vehicle [%VehicleName%] in system [%SystemName%] has not been retrofit, sire. [%ErrorMessage%]
Log Message Title 42                                   := Cannot Mothball
Log Message Text 42                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] cannot be mothballed because it is carrying cargo.
Log Message Title 43                                   := Cannot Mothball
Log Message Text 43                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] cannot be mothballed because it is cloaked.
Log Message Title 44                                   := Cannot Mothball
Log Message Text 44                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] cannot be mothballed because it is not in a sector with a spaceyard.
Log Message Title 45                                   := Ship Mothballed
Log Message Text 45                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] was successfully mothballed.
Log Message Title 46                                   := Cannot Unmothball
Log Message Text 46                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] cannot be unmothballed because we do not have enough resources.
Log Message Title 47                                   := Cannot Unmothball
Log Message Text 47                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] cannot be unmothballed because there is no spaceyard present.
Log Message Title 48                                   := Ship Unmothballed
Log Message Text 48                                    := Mothball Minister: Our vehicle [%ShipName%] in system [%SystemName%] was successfully unmothballed.
Log Message Title 49                                   := Group Self-Destructed
Log Message Text 49                                    := Demolition Minister: Our [%ShipName%] in system [%SystemName%] at [%SectorLoc%] has self-destructed, sire.
Log Message Title 50                                   := Vehicle Self-Destructed
Log Message Text 50                                    := Demolition Minister: Our vehicle [%ShipName%] in system [%SystemName%] at [%SectorLoc%] has self-destructed, sire.
Log Message Title 51                                   := Vehicle Failed To Self-Destruct
Log Message Text 51                                    := Demolition Minister: Our vehicle [%ShipName%] in system [%SystemName%] has not self-destructed, sire. [%ErrorMessage%]
Log Message Title 52                                   := Group Destroyed
Log Message Text 52                                    := Demolition Minister: Our [%ShipName%] in system [%SystemName%] at [%SectorLoc%] has been fired on and destroyed by our ships, sire.
Log Message Title 53                                   := Vehicle Destroyed
Log Message Text 53                                    := Demolition Minister: Our vehicle [%ShipName%] in system [%SystemName%] at [%SectorLoc%] has been fired on and destroyed by our ships, sire.
Log Message Title 54                                   := Vehicle Failed To Be Fired On
Log Message Text 54                                    := Demolition Minister: Our vehicle [%ShipName%] in system [%SystemName%] has not been fired on and destroyed, sire. [%ErrorMessage%]
Log Message Title 55                                   := Planet Abandoned
Log Message Text 55                                    := Planet Minister: [%MessageText%]
Log Message Title 56                                   := Resources Converted
Log Message Text 56                                    := Resource Minister: Our colony on [%PlanetName%] in system [%SystemName%] has converted [%FromResourceAmount%] [%FromResourceType%] to [%ToResourceAmount%] [%ToResourceType%].
Log Message Title 57                                   := Resources Converted
Log Message Text 57                                    := Resource Minister: Our ship [%ShipName%] in system [%SystemName%] has converted [%FromResourceAmount%] [%FromResourceType%] to [%ToResourceAmount%] [%ToResourceType%].
Log Message Title 58                                   := [%ShipName%] Destroyed
Log Message Text 58                                    := Supply Minister: [%ShipName%] at [%SectLoc%] of the [%SystemName%] has run out of supply and has been destroyed, sire.
Log Message Title 59                                   := Alliance Formed
Log Message Text 59                                    := Political Minister: We have formed into a new alliance known as the [%AllianceName%]. May our new organization lead us to a glorious future!
Log Message Title 60                                   := Alliance Formed
Log Message Text 60                                    := A new alliance named the [%AllianceName%] has been formed.
Log Message Title 61                                   := Technology Received
Log Message Text 61                                    := Political Minister: The [%FromName%] has transfered technical data covering the area of [%TechName%] to us, sire.
Log Message Title 62                                   := Technology Received
Log Message Text 62                                    := Political Minister: The [%FromName%] has transfered technical data covering the area of [%TechName%] to us, sire.
Log Message Title 63                                   := [%FromName%] Surrendered
Log Message Text 63                                    := Political Minister: The [%FromName%] has completely surrendered to the [%ToName%], sire.
Log Message Title 64                                   := Resources Received
Log Message Text 64                                    := Political Minister: We have received [%ItemAmount%] [%ItemType%] from the [%FromName%], sire.
Log Message Title 65                                   := Resources Transfered
Log Message Text 65                                    := Political Minister: We have transfered [%ItemAmount%] [%ItemType%] to the [%ToName%], sire.
Log Message Title 66                                   := Technology Received
Log Message Text 66                                    := Political Minister: The [%FromName%] has transfered technical data covering the area of [%TechName%] to us, sire. [%AddedMsg%]
