=======================================================================================
STELLAR OBJECT TYPES DATA FILE
=======================================================================================

Maximum Stellar Object Types Allowed = 1000

Allowable Values for Physical Type: 
  None, Planet, Asteroids, Storm, Star, Warp Point, Destroyed Star, Comet

Allowable Values for Planet Size:
  Asteroids, Tiny, Small, Medium, Large, Huge

Allowable Values for Planet Physical Type:
  Rock, Ice, Gas Giant

Allowable Values for Planet Atmosphere:
  None, Methane, Oxygen, Hydrogen, Carbon Dioxide

NOTE: The following combinations of plant physical type and atmosphere are 
not allowed: Gas Giant x None.

Allowable Values for all other sizes:
  Tiny, Small, Medium, Large, Huge

Allowable Values for Star Age:
  Young, Average, Old, Ancient

Allowable Values for Star Color:
  Yellow, Red, Purple, Green, Blue, White, Orange

Allowable Values for Star Luminosity:
  Dim, Average, Bright

None           - Gray
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Hydrogen Small
Physical Type              := Planet
XFile Class Name           := Planet Gas Hydrogen Small
Maximum Model Size         := 14
Hex Size                   := 1
Picture Index              := 358
Portrait Filename          := planet_gas_ringed_0002_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0002_huge_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Hydrogen Medium
Physical Type              := Planet
XFile Class Name           := Planet Gas Hydrogen Medium
Maximum Model Size         := 16
Hex Size                   := 1
Picture Index              := 358
Portrait Filename          := planet_gas_ringed_0002_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0002_huge_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Hydrogen Large
Physical Type              := Planet
XFile Class Name           := Planet Gas Hydrogen Large
Maximum Model Size         := 18
Hex Size                   := 1
Picture Index              := 358
Portrait Filename          := planet_gas_ringed_0002_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0002_huge_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Hydrogen Huge
Physical Type              := Planet
XFile Class Name           := Planet Gas Hydrogen Huge
Maximum Model Size         := 20
Hex Size                   := 1
Picture Index              := 358
Portrait Filename          := planet_gas_ringed_0002_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0002_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Hydrogen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Hydrogen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Hydrogen_Colonized.bmp

Stellar Object Name        := Planet Gas Oxygen Tiny
Physical Type              := Planet
XFile Class Name           := Planet Gas Oxygen Tiny
Maximum Model Size         := 12
Hex Size                   := 1
Picture Index              := 366
Portrait Filename          := planet_gas_ringed_0006_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0006_huge_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Gas Oxygen Small
Physical Type              := Planet
XFile Class Name           := Planet Gas Oxygen Small
Maximum Model Size         := 14
Hex Size                   := 1
Picture Index              := 366
Portrait Filename          := planet_gas_ringed_0006_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0006_huge_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Gas Oxygen Medium
Physical Type              := Planet
XFile Class Name           := Planet Gas Oxygen Medium
Maximum Model Size         := 16
Hex Size                   := 1
Picture Index              := 366
Portrait Filename          := planet_gas_ringed_0006_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0006_huge_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Gas Oxygen Large
Physical Type              := Planet
XFile Class Name           := Planet Gas Oxygen Large
Maximum Model Size         := 18
Hex Size                   := 1
Picture Index              := 366
Portrait Filename          := planet_gas_ringed_0006_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0006_huge_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Gas Oxygen Huge
Physical Type              := Planet
XFile Class Name           := Planet Gas Oxygen Huge
Maximum Model Size         := 20
Hex Size                   := 1
Picture Index              := 366
Portrait Filename          := planet_gas_ringed_0006_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0006_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Oxygen
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Oxygen_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Oxygen_Colonized.bmp

Stellar Object Name        := Planet Gas Methane Tiny
Physical Type              := Planet
XFile Class Name           := Planet Gas Methane Tiny
Maximum Model Size         := 12
Hex Size                   := 1
Picture Index              := 488
Portrait Filename          := planet_gas_ringed_0004_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0004_huge_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Methane_Colonized.bmp

Stellar Object Name        := Planet Gas Methane Small
Physical Type              := Planet
XFile Class Name           := Planet Gas Methane Small
Maximum Model Size         := 14
Hex Size                   := 1
Picture Index              := 488
Portrait Filename          := planet_gas_ringed_0004_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0004_huge_lp.jpg
Description                := 
Planet Size                := Small
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Methane_Colonized.bmp

Stellar Object Name        := Planet Gas Methane Medium
Physical Type              := Planet
XFile Class Name           := Planet Gas Methane Medium
Maximum Model Size         := 16
Hex Size                   := 1
Picture Index              := 488
Portrait Filename          := planet_gas_ringed_0004_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0004_huge_lp.jpg
Description                := 
Planet Size                := Medium
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Methane_Colonized.bmp

Stellar Object Name        := Planet Gas Methane Large
Physical Type              := Planet
XFile Class Name           := Planet Gas Methane Large
Maximum Model Size         := 18
Hex Size                   := 1
Picture Index              := 488
Portrait Filename          := planet_gas_ringed_0004_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0004_huge_lp.jpg
Description                := 
Planet Size                := Large
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Methane_Colonized.bmp

Stellar Object Name        := Planet Gas Methane Huge
Physical Type              := Planet
XFile Class Name           := Planet Gas Methane Huge
Maximum Model Size         := 20
Hex Size                   := 1
Picture Index              := 488
Portrait Filename          := planet_gas_ringed_0004_huge.bmp
Large Portrait Filename    := planet_gas_ringed_0004_huge_lp.jpg
Description                := 
Planet Size                := Huge
Planet Physical Type       := Gas Giant
Planet Atmosphere          := Methane
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Gas_Methane_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Gas_Methane_Colonized.bmp

//-------------------------------------------------------------------------------------------
// Normal Planets
//-------------------------------------------------------------------------------------------
Stellar Object Name        := Planet Moon 0001 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0001 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 270
Portrait Filename          := planet_moon_0001_tiny.bmp
Large Portrait Filename    := planet_moon_0001_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0002 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0002 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 275
Portrait Filename          := planet_moon_0002_tiny.bmp
Large Portrait Filename    := planet_moon_0002_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0003 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0003 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 280
Portrait Filename          := planet_moon_0003_tiny.bmp
Large Portrait Filename    := planet_moon_0003_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0004 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0004 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 285
Portrait Filename          := planet_moon_0004_tiny.bmp
Large Portrait Filename    := planet_moon_0004_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0005 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0005 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 290
Portrait Filename          := planet_moon_0005_tiny.bmp
Large Portrait Filename    := planet_moon_0005_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0006 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0006 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 295
Portrait Filename          := planet_moon_0006_tiny.bmp
Large Portrait Filename    := planet_moon_0006_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0007 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0007 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 300
Portrait Filename          := planet_moon_0007_tiny.bmp
Large Portrait Filename    := planet_moon_0007_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0008 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0008 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 305
Portrait Filename          := planet_moon_0008_tiny.bmp
Large Portrait Filename    := planet_moon_0008_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0009 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0009 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 310
Portrait Filename          := planet_moon_0009_tiny.bmp
Large Portrait Filename    := planet_moon_0009_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0010 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0010 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 315
Portrait Filename          := planet_moon_0010_tiny.bmp
Large Portrait Filename    := planet_moon_0010_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0011 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0011 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 320
Portrait Filename          := planet_moon_0011_tiny.bmp
Large Portrait Filename    := planet_moon_0011_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0012 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0012 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 325
Portrait Filename          := planet_moon_0012_tiny.bmp
Large Portrait Filename    := planet_moon_0012_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0013 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0013 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 330
Portrait Filename          := planet_moon_0013_tiny.bmp
Large Portrait Filename    := planet_moon_0013_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0014 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0014 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 335
Portrait Filename          := planet_moon_0014_tiny.bmp
Large Portrait Filename    := planet_moon_0014_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0015 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0015 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 340
Portrait Filename          := planet_moon_0015_tiny.bmp
Large Portrait Filename    := planet_moon_0015_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0016 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0016 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 345
Portrait Filename          := planet_moon_0016_tiny.bmp
Large Portrait Filename    := planet_moon_0016_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0017 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0017 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 350
Portrait Filename          := planet_moon_0017_tiny.bmp
Large Portrait Filename    := planet_moon_0017_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Moon 0018 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Moon 0018 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 355
Portrait Filename          := planet_moon_0018_tiny.bmp
Large Portrait Filename    := planet_moon_0018_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
Planet Atmosphere          := None
Planet Gravity             := Formula Planet Gravity
Planet Temperature         := Formula Planet Temperature
Planet Radiation           := Formula Planet Radiation
Planet Surface Empty       := PlanetSurface_Rock_None_Empty.bmp
Planet Surface Colonized   := PlanetSurface_Rock_None_Colonized.bmp

Stellar Object Name        := Planet Ven 0002 Tiny
Physical Type              := Planet
XFile Class Name           := Planet Ven 0002 Tiny
Maximum Model Size         := 8.0
Hex Size                   := 1
Picture Index              := 505
Portrait Filename          := planet_ven_0002_tiny.bmp
Large Portrait Filename    := planet_ven_0002_tiny_lp.jpg
Description                := 
Planet Size                := Tiny
Planet Physical Type       := Rock
